,cm30,cm60,cm90,cm120,cm150,cm180,n_contracts
2008-01-02,24.156470588235294,24.427931034482757,24.330714285714286,24.28142857142857,24.137142857142855,23.939999999999998,9
2008-01-03,23.97,24.425862068965518,24.285,24.237142857142857,24.143214285714286,23.9425,9
2008-01-04,25.008235294117647,25.16,24.91357142857143,24.742571428571427,24.615714285714287,24.55,9
2008-01-07,24.546176470588236,24.651724137931033,24.482142857142858,24.404285714285713,24.321785714285717,24.188928571428573,9
2008-01-08,25.77294117647059,25.66413793103448,25.404642857142857,25.242,25.112857142857145,24.935,9
2008-01-09,25.492058823529412,25.45241379310345,24.90857142857143,24.697142857142858,24.556785714285713,24.422142857142855,9
2008-01-10,24.691176470588236,24.646551724137932,24.3975,24.300857142857144,24.192857142857143,23.957142857142856,9
2008-01-11,25.835,26.07758620689655,25.947857142857146,25.632,25.5,25.3125,9
2008-01-14,24.79294117647059,25.075172413793105,25.07,24.93114285714286,24.89785714285714,24.788571428571426,9
2008-01-15,25.063529411764705,25.05896551724138,25.095000000000002,24.948,24.573214285714286,24.6875,9
2008-01-16,,25.02586206896552,25.0975,24.967428571428574,24.562857142857144,24.42571428571429,8
2008-01-17,,26.644137931034482,26.73,26.412857142857142,26.261785714285715,26.201785714285712,8
2008-01-18,,26.728275862068966,26.607714285714287,26.23914285714286,26.022857142857145,25.88,8
2008-01-22,27.63689655172414,26.3875,26.352857142857143,25.77,25.700714285714284,25.68714285714286,9
2008-01-23,26.28620689655172,25.318571428571428,25.352857142857143,24.980714285714285,24.98392857142857,24.81857142857143,9
2008-01-24,26.279655172413793,25.354285714285716,25.376,25.184285714285714,24.982857142857142,24.950285714285716,9
2008-01-25,26.586206896551726,25.787142857142857,25.71485714285714,25.603214285714284,25.34785714285714,25.156,9
2008-01-28,25.94206896551724,25.325,25.19857142857143,25.10642857142857,25.0,24.89857142857143,9
2008-01-29,25.939655172413794,25.3,25.294,25.03,24.799642857142857,24.772857142857145,9
2008-01-30,25.94,25.55607142857143,25.446,25.215714285714284,25.083571428571428,24.956285714285713,9
2008-01-31,25.514827586206895,25.24142857142857,25.002,24.696428571428573,24.535714285714285,24.392857142857142,9
2008-02-01,24.83,24.678571428571427,24.502857142857142,24.122142857142855,23.34857142857143,23.148,9
2008-02-04,25.68068965517241,25.337142857142858,24.83057142857143,24.36607142857143,24.071428571428573,23.984285714285715,9
2008-02-05,27.130689655172414,26.743928571428572,26.24457142857143,25.625,25.169999999999998,25.060285714285715,9
2008-02-06,27.844137931034485,27.45214285714286,26.89,26.165714285714287,25.752857142857145,25.505428571428574,9
2008-02-07,27.39034482758621,26.876785714285713,26.286,25.861428571428572,25.56357142857143,25.282857142857143,9
2008-02-08,27.89206896551724,27.58,27.132571428571428,26.4975,26.053214285714287,25.744,9
2008-02-11,27.189655172413794,26.838571428571427,26.388571428571428,26.11285714285714,25.912857142857142,25.479142857142858,9
2008-02-12,26.790344827586207,26.53142857142857,26.05428571428571,25.5775,25.576785714285716,25.314285714285713,9
2008-02-13,25.842758620689654,25.783214285714287,25.43285714285714,25.212142857142858,25.077142857142857,24.904,9
2008-02-14,26.193793103448275,26.13357142857143,25.826,25.495357142857145,25.23464285714286,25.03257142857143,9
2008-02-15,25.94448275862069,25.910714285714285,25.570285714285713,25.38,25.18357142857143,24.778,9
2008-02-19,25.613214285714285,25.666571428571427,25.332285714285714,24.96,24.768,24.588,8
2008-02-20,25.447142857142858,25.383714285714287,25.18657142857143,24.878571428571426,24.828,24.708,9
2008-02-21,25.423214285714288,25.375714285714285,24.93,24.86642857142857,24.691142857142857,24.699714285714286,9
2008-02-22,24.864285714285714,24.80085714285714,24.658571428571427,24.63607142857143,24.759999999999998,24.7,9
2008-02-25,24.212500000000002,24.314285714285713,24.227142857142855,24.14785714285714,24.114857142857144,24.02736263736264,9
2008-02-26,23.844285714285714,24.17142857142857,24.135714285714286,24.052500000000002,23.956285714285713,23.827802197802196,9
2008-02-27,24.063214285714285,24.453142857142858,24.39357142857143,24.087142857142855,23.884285714285713,23.765054945054946,9
2008-02-28,24.765714285714285,25.034857142857145,24.87,24.730714285714285,24.608285714285714,24.41945054945055,9
2008-02-29,26.202142857142857,26.34142857142857,26.178571428571427,25.75,25.51857142857143,25.382307692307695,9
2008-03-03,26.205,26.186,25.945,25.666785714285716,25.537142857142857,25.37252747252747,9
2008-03-04,25.7575,25.751142857142856,25.62,25.575,25.58142857142857,25.396043956043957,9
2008-03-05,25.14428571428571,25.236,24.983928571428574,24.855357142857144,24.81142857142857,24.67956043956044,9
2008-03-06,26.899642857142858,26.724,26.365000000000002,26.012857142857143,25.69571428571429,25.478571428571428,9
2008-03-07,26.884285714285713,26.607142857142858,26.158214285714287,25.921785714285715,25.627714285714287,25.360769230769233,9
2008-03-10,27.637500000000003,27.199142857142856,26.713571428571427,26.46,26.09314285714286,25.815934065934066,9
2008-03-11,26.094285714285714,25.671714285714287,25.344285714285714,25.2275,25.12457142857143,25.00879120879121,9
2008-03-12,26.877142857142857,26.627142857142857,26.152857142857144,25.774285714285714,25.607142857142858,25.507802197802196,9
2008-03-13,26.98142857142857,26.589142857142857,26.2375,26.137142857142855,25.80857142857143,25.65142857142857,9
2008-03-14,28.574642857142855,27.69457142857143,27.285,27.0,26.603428571428573,26.42923076923077,9
2008-03-17,28.54,27.537142857142857,27.128928571428574,27.119285714285716,26.55657142857143,26.284395604395606,9
2008-03-18,26.175142857142855,25.42942857142857,25.144285714285715,25.33,25.158571428571427,25.072307692307692,9
2008-03-19,27.359714285714286,26.605428571428572,26.22142857142857,26.185142857142857,25.739428571428572,25.617142857142856,8
2008-03-20,26.921142857142858,26.132571428571428,25.86,25.784,25.544,25.445824175824175,8
2008-03-24,26.222,25.68857142857143,25.437142857142856,25.54857142857143,25.278928571428573,24.73095238095238,9
2008-03-25,26.217142857142857,25.843214285714286,25.609285714285715,25.488,25.194285714285712,25.10666666666667,9
2008-03-26,26.788,26.295714285714286,26.14785714285714,26.069142857142857,25.782857142857143,25.378095238095238,9
2008-03-27,26.58857142857143,26.417142857142856,26.1775,25.988285714285716,25.744285714285713,25.331904761904763,9
2008-03-28,26.596857142857143,26.497857142857143,26.18285714285714,26.102857142857143,25.718928571428574,25.51888888888889,9
2008-03-31,26.126,26.177857142857142,25.865000000000002,25.72057142857143,25.594285714285714,25.496666666666666,9
2008-04-01,24.364285714285714,24.75714285714286,24.585714285714285,24.548,24.51607142857143,24.50984126984127,9
2008-04-02,24.818285714285715,24.841428571428573,24.638214285714284,24.624285714285712,24.505714285714284,24.434761904761906,9
2008-04-03,24.59542857142857,24.815714285714286,24.595,24.553714285714285,24.52285714285714,24.3984126984127,9
2008-04-04,24.469142857142856,24.843214285714286,24.698571428571427,24.68,24.388571428571428,24.084444444444443,9
2008-04-07,23.76,24.18,24.17142857142857,24.062857142857144,24.056428571428572,24.072539682539684,9
2008-04-08,23.68,23.972857142857144,23.977857142857143,24.082,24.164285714285715,24.164285714285715,9
2008-04-09,24.306857142857144,24.544285714285714,24.55857142857143,24.520857142857142,24.619642857142857,24.61047619047619,9
2008-04-10,23.864857142857144,24.20785714285714,24.15,24.084285714285713,24.165714285714287,24.18873015873016,9
2008-04-11,24.674285714285716,25.065714285714286,25.13142857142857,24.852,24.950714285714284,24.95,9
2008-04-14,24.672,24.83892857142857,24.97285714285714,24.84342857142857,24.752857142857142,24.675238095238093,9
2008-04-15,24.146,24.521428571428572,24.58642857142857,24.55,24.564642857142857,24.45095238095238,9
2008-04-16,,23.201071428571428,23.490357142857142,23.466857142857144,23.68285714285714,23.608571428571427,8
2008-04-17,,23.512857142857143,23.61,23.464285714285715,23.716785714285713,23.677142857142858,8
2008-04-18,,22.81714285714286,23.141142857142857,23.175428571428572,23.347142857142856,23.297777777777778,8
2008-04-21,21.92,22.457142857142856,22.82257142857143,22.916857142857143,23.316285714285712,24.104857142857142,10
2008-04-22,22.11857142857143,22.676785714285714,23.158571428571427,23.21,23.557142857142857,23.514285714285716,10
2008-04-23,21.899285714285714,22.517142857142858,23.15142857142857,23.128571428571426,23.636857142857142,23.705428571428573,10
2008-04-24,21.317857142857143,22.192857142857143,22.854000000000003,22.897857142857145,23.268,23.328,10
2008-04-25,20.80857142857143,21.693571428571428,22.346,22.420357142857142,22.58142857142857,22.53,10
2008-04-28,20.737499999999997,21.56142857142857,22.05,22.167857142857144,22.611428571428572,22.628571428571426,10
2008-04-29,21.032857142857143,21.84357142857143,22.327428571428573,22.4525,22.716285714285714,22.84,10
2008-04-30,21.529285714285713,22.2775,22.475142857142856,22.547142857142855,22.77,22.74142857142857,10
2008-05-01,20.249285714285712,21.228571428571428,21.564,21.670714285714286,21.73657142857143,21.255714285714287,10
2008-05-02,20.041071428571428,20.996785714285714,21.44142857142857,21.512857142857143,21.624285714285715,21.605,10
2008-05-05,20.34,21.39,21.64371428571429,21.743928571428572,21.90142857142857,21.81142857142857,10
2008-05-06,19.591428571428573,20.806428571428572,21.257714285714286,21.505000000000003,21.615142857142857,21.55,10
2008-05-07,20.562857142857144,21.762857142857143,22.075714285714284,22.1925,22.28514285714286,22.262857142857143,10
2008-05-08,20.629285714285714,21.881071428571428,22.174,22.267142857142858,22.34,22.251785714285713,10
2008-05-09,20.875,22.035714285714285,22.282571428571426,22.423571428571428,22.575142857142858,22.655,10
2008-05-12,20.35,21.6825,21.87,21.927142857142858,21.987714285714286,21.97964285714286,10
2008-05-13,20.334285714285716,21.72285714285714,21.88,22.029999999999998,22.08,22.05428571428571,10
2008-05-14,19.959285714285716,21.400357142857143,21.645714285714284,22.002142857142857,22.103714285714286,21.98107142857143,10
2008-05-15,19.53,21.152142857142856,21.346,21.526071428571427,21.53857142857143,21.415714285714287,10
2008-05-16,19.819642857142856,21.451428571428572,21.65742857142857,21.912857142857142,22.002,21.907500000000002,10
2008-05-19,19.76,21.588571428571427,21.717142857142857,21.990357142857142,22.033142857142856,21.98857142857143,10
2008-05-20,20.874642857142856,22.378285714285717,22.661142857142856,22.57,22.578571428571426,22.678214285714287,10
2008-05-21,22.242857142857144,23.609714285714283,23.832571428571427,23.76571428571429,23.93714285714286,23.774285714285718,9
2008-05-22,21.917142857142856,23.58285714285714,23.72,23.694285714285712,23.60857142857143,23.50357142857143,10
2008-05-23,22.48857142857143,24.064,24.181428571428572,24.219142857142856,24.21057142857143,23.97,10
2008-05-27,22.12142857142857,23.737142857142857,23.82107142857143,23.76,23.669285714285714,23.474285714285717,10
2008-05-28,21.947142857142858,23.344285714285714,23.55857142857143,23.58085714285714,23.531785714285714,23.326428571428572,10
2008-05-29,20.72,22.272285714285715,22.7725,23.10742857142857,23.051428571428573,22.73,10
2008-05-30,20.31892857142857,22.08942857142857,22.732857142857142,22.98428571428571,22.9325,22.75,10
2008-06-02,21.72,23.005714285714287,23.340357142857144,23.532,23.542857142857144,23.210714285714285,10
2008-06-03,22.200357142857143,23.384,23.702857142857145,23.848,23.805357142857144,23.619285714285716,10
2008-06-04,22.322857142857142,23.27,23.709285714285716,24.002857142857142,23.93,23.762857142857143,10
2008-06-05,21.25785714285714,22.607714285714287,23.235,23.418857142857142,23.252142857142857,23.028214285714284,10
2008-06-06,23.59714285714286,24.077142857142857,24.437142857142856,24.57257142857143,24.394285714285715,24.105,10
2008-06-09,23.2475,23.824285714285715,24.39,24.56714285714286,24.367857142857144,24.106785714285714,10
2008-06-10,23.309285714285714,23.703142857142854,24.183214285714286,24.396,24.31714285714286,24.06,10
2008-06-11,23.996428571428574,24.207142857142856,24.605714285714285,24.708571428571428,24.489642857142858,24.217499999999998,10
2008-06-12,23.732857142857142,23.94685714285714,24.5775,24.609142857142857,24.39785714285714,24.165714285714287,10
2008-06-13,22.85214285714286,23.154285714285713,23.74214285714286,23.81457142857143,23.759642857142858,23.607499999999998,10
2008-06-16,22.74,22.86857142857143,23.38107142857143,23.409142857142857,23.352857142857143,23.357142857142858,10
2008-06-17,22.685142857142857,22.83942857142857,23.389285714285712,23.462,23.396071428571428,23.272857142857145,10
2008-06-18,23.351142857142857,23.368285714285715,23.67857142857143,23.82257142857143,23.592857142857145,23.447857142857146,9
2008-06-19,22.95057142857143,23.156285714285715,23.57,23.467142857142857,23.3875,23.177500000000002,9
2008-06-20,23.500857142857143,23.432285714285715,23.70057142857143,23.717714285714283,23.552857142857142,23.43,9
2008-06-23,23.506,23.497142857142855,23.592285714285715,23.60942857142857,23.461071428571426,23.22342857142857,10
2008-06-24,23.646,23.694642857142856,23.634285714285713,23.54,23.49357142857143,23.182,10
2008-06-25,22.646,22.79,23.02657142857143,23.005357142857143,22.836071428571426,22.517142857142858,10
2008-06-26,24.585714285714285,24.27857142857143,24.37,24.199285714285715,24.04285714285714,24.012,10
2008-06-27,24.433714285714284,24.21857142857143,24.31885714285714,24.131785714285716,23.688928571428573,23.594,10
2008-06-30,24.086000000000002,23.98785714285714,24.081714285714284,23.947142857142858,23.602857142857143,23.515714285714285,10
2008-07-01,24.022857142857145,23.892857142857142,23.988,23.78,23.489642857142858,23.458285714285715,10
2008-07-02,25.264857142857142,24.883214285714285,24.69457142857143,24.452857142857145,24.08857142857143,24.03457142857143,10
