date,symbol,assets_lower,assets_central,assets_upper,is_anchor
2014-12-31,SVXY,506556124.0,506556124.0,506556124.0,True
2015-01-02,SVXY,515749675.4751495,517271137.6048236,793416514.1406724,False
2015-01-05,SVXY,480052200.0739727,483592586.4154977,738500403.0053028,False
2015-01-06,SVXY,467794141.97215056,471934121.7259234,719642910.3266668,False
2015-01-07,SVXY,483033895.85998136,488021222.75898516,743087369.8794622,False
2015-01-08,SVXY,513016443.8062643,519070040.17882407,789211778.3043039,False
2015-01-09,SVXY,494132412.6217183,500692022.93015176,760161052.9081845,False
2015-01-12,SVXY,470113224.652321,478434231.93914306,723210529.626494,False
2015-01-13,SVXY,456529971.93395406,465283937.5233111,702314390.4043615,False
2015-01-14,SVXY,448081844.4053067,457334738.0623001,689318000.4626324,False
2015-01-15,SVXY,434664244.9633994,444281195.0937014,668676698.1340828,False
2015-01-16,SVXY,442449759.3862085,452891577.73646694,680653740.5014797,False
2015-01-20,SVXY,446590996.51230234,459765435.9924804,687024517.0255527,False
2015-01-21,SVXY,467876984.4079463,482369479.59159017,719770353.0760422,False
2015-01-22,SVXY,498356460.58847606,514528133.97405344,766659223.5764652,False
2015-01-23,SVXY,485352978.5401518,501818584.6900152,746654989.1792895,False
2015-01-26,SVXY,507135894.6700426,526584563.7344762,780165287.3053604,False
2015-01-27,SVXY,482868242.5835218,502098477.7639702,742832532.9858792,False
2015-01-28,SVXY,441124564.7696637,459343016.3238361,678615093.957983,False
2015-01-29,SVXY,451560500.02069414,470876007.86153954,694669478.0175408,False
2015-01-30,SVXY,404598854.5813208,422502360.8042149,622424846.9598658,False
2015-02-02,SVXY,429611930.61434376,450523299.4051846,660904342.9978869,False
2015-02-03,SVXY,450400958.680609,472988575.47337234,692885668.3676273,False
2015-02-04,SVXY,437397476.6322847,459978130.0756705,672881433.9704514,False
2015-02-05,SVXY,452388734.8078602,476410585.89445585,695943613.8802884,False
2015-02-06,SVXY,433339050.3468546,456988538.14416444,666638051.5905861,False
2015-02-09,SVXY,431185620.94314384,456625582.39423406,663325269.1843419,False
2015-02-10,SVXY,447336420.45880455,474389100.9237273,688171258.7440926,False
2015-02-11,SVXY,444189102.99146813,471706628.53881633,683329503.5815177,False
2015-02-12,SVXY,472183843.2153679,502132115.0261788,726395917.8885306,False
2015-02-13,SVXY,478230077.22318107,509267221.2099589,735697294.3862246,False
2015-02-17,SVXY,476739229.3301767,510492379.7896574,733403810.949145,False
2015-02-18,SVXY,479969389.23330885,514659190.2244363,738373008.8610951,False
2015-02-19,SVXY,491896140.7822118,528173495.1617122,756720827.752565,False
2015-02-20,SVXY,508709553.4037108,546977244.3232445,782586164.8866478,False
2015-02-23,SVXY,506224817.4470808,546545639.7136354,778763708.6932375,False
2015-02-24,SVXY,527759269.4598482,570573756.7137984,811891775.7815177,False
2015-02-25,SVXY,523618032.3337543,566868898.4919095,805520999.2574447,False
2015-02-26,SVXY,529498581.469976,574016191.8831965,814567490.2563882,False
2015-02-27,SVXY,532811583.8089039,578393632.3905778,819664130.9177135,False
2015-03-02,SVXY,550453231.2175689,599980279.8052825,846803603.914544,False
2015-03-03,SVXY,538195204.7108787,587413175.1713505,827946159.8410755,False
2015-03-04,SVXY,539520367.7322916,589655317.2472727,829984757.7794046,False
2015-03-05,SVXY,546063529.9743515,597611947.0927434,840050596.3526802,False
2015-03-06,SVXY,521630224.6113712,571641541.6917436,802463005.1396159,False
2015-03-09,SVXY,529084464.07639295,582151656.298054,813930422.3250144,False
2015-03-10,SVXY,511856902.4661791,563951158.8140874,787427968.6543902,False
2015-03-11,SVXY,499101884.5349782,550634173.9958053,767805965.2950051,False
2015-03-12,SVXY,528753157.5234738,584126853.3098316,813420748.5378484,False
2015-03-13,SVXY,516660752.6981113,571530145.8047887,794818092.7527953,False
2015-03-16,SVXY,528918810.7999334,587430476.8201042,813675585.4314313,False
2015-03-17,SVXY,531486357.5972272,591066001.27136,817625435.7690494,False
2015-03-18,SVXY,554842932.4607862,617859242.8284652,853556611.4764076,False
2015-03-19,SVXY,553766233.5564967,617477063.3085818,851900244.5758693,False
2015-03-20,SVXY,563042627.467442,628651194.9466958,866170818.9855136,False
2015-03-23,SVXY,573147192.9752896,642469372.7120758,881715432.0475702,False
2015-03-24,SVXY,575466338.8457237,645917832.5610572,885283148.5577326,False
2015-03-25,SVXY,549624996.4304029,617723559.7624495,845529468.0517963,False
2015-03-26,SVXY,554097540.1094159,623567546.0040945,852409918.3630354,False
2015-03-27,SVXY,560972008.9043951,632131335.6891651,862985430.723477,False
2015-03-30,SVXY,577619736.6543026,653446796.8397851,888595882.3588092,False
2015-03-31,SVXY,563539555.7016889,638349460.5848302,866935281.0610951,False
2015-04-01,SVXY,563373870.8300974,638992757.8181372,866680395.5623444,False
2015-04-02,SVXY,575135032.2928046,653180886.2871993,884773474.7705666,False
2015-04-06,SVXY,587972829.4695374,671229814.2452843,904522823.6689918,False
2015-04-07,SVXY,589049591.5640906,673327894.3940362,906179287.7798653,False
2015-04-08,SVXY,599982455.0493679,686709952.3886348,922998133.9150046,False
2015-04-09,SVXY,620026027.573999,710565363.1830863,953832668.9610375,False
2015-04-10,SVXY,648849002.5850649,744554267.392115,998173219.130798,False
2015-04-13,SVXY,628722650.8149018,724241376.3937367,967211338.5457249,False
2015-04-14,SVXY,635679898.855413,733193232.9631898,977914196.4452066,False
