window,spec,n,alpha_annual,alpha_t,alpha_p,r2,beta_PUT,beta_SPX,beta_VXX_like,t_PUT,t_SPX,t_VXX_like
full (not a headline),H5 (PUT+SPX+VXX),4704,-0.0031034974195094066,-0.13145413286904759,0.8954216947352394,0.48873455618713435,-0.3436893965604304,0.1503430717346168,-0.14133363698771714,-6.720931435659114,2.0354226251647978,-5.82246336998932
full (not a headline),auxiliary: PUT+SPX,4704,0.012538926499476053,0.4419923675214971,0.6585150604427965,0.2113204893862659,-0.2665386761960575,0.4774755190929765,,-3.238430322420584,8.364855051255496,
full (not a headline),auxiliary: VXX only,4710,-0.0028138922087254797,-0.11217228797910471,0.9106915835276762,0.46097595714787964,,,-0.12688079752810022,,,-8.987350998247686
full (not a headline),auxiliary: PUT only,4704,0.027187437257296082,0.9051997545030029,0.365405950541521,0.11920465788616574,0.3390882995989695,,,5.326600826470563,,
full (not a headline),auxiliary: SPX only,4707,0.014456111217385605,0.5011093740888803,0.616317592549023,0.1968807692689185,,0.30819335700219813,,,7.960927763964279,
design,H5 (PUT+SPX+VXX),2013,0.004398360498447852,0.11796299085873699,0.9061087744051636,0.5826399097499211,-0.3100565232708179,0.04120212072529461,-0.20409906553510176,-4.156980920037788,0.7223864241973609,-15.178573902323258
design,auxiliary: PUT+SPX,2013,0.04577112963105816,0.9511458952673806,0.3416446736391234,0.21340631967050083,-0.2509464566620032,0.4652780433680733,,-2.317477801566929,5.7079828301505025,
design,auxiliary: VXX only,2015,0.002106391825433323,0.05430998778901218,0.956693581434803,0.5409514573418386,,,-0.16459783332353586,,,-14.209015245444588
design,auxiliary: PUT only,2013,0.04759915223267826,0.9446942492818372,0.344928478877644,0.1279903004803844,0.3438876625876106,,,4.635955209701748,,
design,auxiliary: SPX only,2014,0.04309782295381327,0.8941242377771029,0.3713623627987047,0.20092593272170034,,0.304733253101903,,,6.075152741698133,
oos,H5 (PUT+SPX+VXX),2691,-0.01434010042444778,-0.5155636338061164,0.6062016298572183,0.45449890201651333,-0.381198273961576,0.19168424601769773,-0.11538049096552237,-6.898692457040338,1.9905436982211064,-3.9347603853629947
oos,auxiliary: PUT+SPX,2691,-0.012952144297405245,-0.3801075819319813,0.7038955888741388,0.2094858191725073,-0.2829493428991805,0.4905483579507447,,-2.4012517637330384,6.876468218152959,
oos,auxiliary: VXX only,2695,-0.009153280633545922,-0.2980617479103189,0.7656790293771462,0.42308385631980316,,,-0.10569024836291181,,,-5.974674263511541
oos,auxiliary: PUT only,2691,0.012059014504984188,0.3302306520904767,0.7412514127733779,0.10992687604686224,0.33350034565046544,,,3.3685437132442413,,
oos,auxiliary: SPX only,2693,-0.0072914485148053,-0.20685260578601367,0.8361406209130188,0.19278938183193883,,0.3123526232427404,,,5.88979334851589,
