name,n,years,cagr,ann_vol,sharpe,sharpe_se_lo,mean_t_hac,sortino,max_drawdown,calmar,skew,excess_kurtosis,var_95,cvar_95,var_99,cvar_99,worst_day,worst_week,best_day,hit_rate,longest_drawdown_days,window
strategy,4711,18.69,0.04935680784169105,0.1366685651963664,0.316844514415557,0.23572553172168104,1.4107153435673236,0.3088728015487897,-0.26767483692461536,0.1843909140237612,-1.8622893409544568,15.689441427715657,-0.013871965560097621,-0.02367821365081466,-0.0279199917668032,-0.04159729336364632,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6346847803014222,1998,full (not a headline)
strategy,2016,8.0,0.060671220732824604,0.1505149618995078,0.45084349420740566,0.3585296185911031,1.2923714590688675,0.4916436198297366,-0.24759714504281505,0.2450400658793267,-0.950747928832622,4.83506372797308,-0.01629963820744217,-0.02527607594253146,-0.03057310080395959,-0.03932394228376151,-0.0674511034416487,-0.08405653468743968,0.03742084148734857,0.6165674603174603,425,design
strategy,2695,10.69,0.040972021497347466,0.12534022261197725,0.19890868414091858,0.31165824074756143,0.680035153080047,0.17703141981520973,-0.2676748369246198,0.15306639192568422,-2.997438630084059,31.02332393045647,-0.012053563280664722,-0.021980304612866465,-0.02515788213612574,-0.04250700672863924,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6482374768089054,1998,oos
hindsight floor (calibration),4711,18.69,0.043646128807098616,0.10452404775107808,0.3243769734749394,0.23497566618573248,1.4829342219155457,0.32291342248933863,-0.20402774167249216,0.21392252077739468,-1.5206503727341534,9.363005004495195,-0.011051487171710535,-0.01842440258885019,-0.022117949382925668,-0.030954399256403326,-0.06590954986794256,-0.0796223427063496,0.029774576282352482,0.6353215877732965,1515,full (not a headline)
hindsight floor (calibration),2016,8.0,0.042098768637645945,0.10430872752760066,0.4242822335984778,0.3575625954116854,1.2258578327466332,0.46905296866561674,-0.1874041194791286,0.22464163944023935,-0.8169202793037266,3.69500539454636,-0.011522785660479488,-0.017591849806606483,-0.02114069306858153,-0.026412043018128214,-0.03587329499069879,-0.0796223427063496,0.027566835046079152,0.6175595238095238,378,design
hindsight floor (calibration),2695,10.69,0.04480513661685426,0.1047041189476776,0.24982994022815688,0.3107978059880711,0.8785760861106794,0.23205670570945663,-0.20402774167249338,0.21960315910752837,-2.041785958349772,13.55817539087382,-0.010497774796301219,-0.019020995423230904,-0.023650655009122216,-0.034215038473409,-0.06590954986794256,-0.0775055111849331,0.029774576282352482,0.6486085343228201,1515,oos
no crash budget (vol target only),4711,18.69,0.028644865302758005,0.15809913809178752,0.16830529973901523,0.23403423018426084,0.7504199575489705,0.15972868786188785,-0.4347236567041418,0.06589212448185844,-2.2054776136595353,17.651644001029737,-0.0163688253408074,-0.027847276461387058,-0.031739091688119926,-0.05007009801593972,-0.1274454654736029,-0.15228494356221067,0.047489562078691934,0.6334111653576735,2184,full (not a headline)
no crash budget (vol target only),2016,8.0,0.060671220732824604,0.1505149618995078,0.45084349420740566,0.3585296185911031,1.2923714590688675,0.4916436198297366,-0.24759714504281505,0.2450400658793267,-0.950747928832622,4.83506372797308,-0.01629963820744217,-0.02527607594253146,-0.03057310080395959,-0.03932394228376151,-0.0674511034416487,-0.08405653468743968,0.03742084148734857,0.6165674603174603,425,design
no crash budget (vol target only),2695,10.69,0.005321358567730083,0.16355671317685994,-0.026021659506927513,0.3050568696426971,-0.0886667870273262,-0.022873008194239656,-0.43472365670414204,0.012240784428604531,-2.925786989066826,24.2749948091281,-0.016417480711741712,-0.029770406617196415,-0.034512413790674226,-0.058056929857928145,-0.1274454654736029,-0.15228494356221067,0.047489562078691934,0.6460111317254175,2184,oos
no signals (always on),4711,18.69,0.06595625460252541,0.1664752990568455,0.3835297306093038,0.24309106984926573,1.653689059459913,0.38575470171449805,-0.40394658338913214,0.1632796446726919,-3.914895847897844,67.58566075195907,-0.016520238189650874,-0.02721857455610798,-0.030138400076342647,-0.049379780256470295,-0.24190048204947842,-0.2791339450983513,0.047489562078691934,0.5877732965400128,1516,full (not a headline)
