symbol,leverage,full_slope,block_end,slope_without,delta,block_realised_var
SVXY,-1.0,-2.8458191170317857,2018-02-07,-1.0873471744842202,1.7584719425475654,0.574090312280178
SVXY,-1.0,-2.8458191170317857,2016-07-08,-2.958423306957173,-0.11260418992538712,0.1905186267734631
SVXY,-1.0,-2.8458191170317857,2015-09-08,-2.886286214738503,-0.040467097706717414,0.13291022599604735
SVXY,-1.0,-2.8458191170317857,2011-11-02,-2.874987589026918,-0.029168471995132172,0.10932769718410426
SVXY,-1.0,-2.8458191170317857,2014-11-05,-2.859417496215841,-0.013598379184055265,0.09715545419221648
UVXY,2.0,-0.732097033140717,2018-02-07,-0.9461597122907476,-0.21406267915003063,0.574090312280178
UVXY,2.0,-0.732097033140717,2016-07-08,-0.719534984754274,0.012562048386442926,0.1905186267734631
UVXY,2.0,-0.732097033140717,2015-04-09,-0.7230360752552548,0.009060957885462129,0.016841584066595274
UVXY,2.0,-0.732097033140717,2011-11-02,-0.7246612100696687,0.0074358230710482864,0.10932769718410426
UVXY,2.0,-0.732097033140717,2016-01-07,-0.7265194476318225,0.005577585508894423,0.07546199555315454
