sample,sigma_quintile,n,exceed,rate,ci_low,ci_high,chi2_equal_rates_p
pre2018,Q1 calm,504,26,0.051587301587301584,0.033971678929083184,0.07467634024238928,0.561885826441566
pre2018,Q2,503,29,0.05765407554671968,0.038948106478146394,0.08175405150592281,0.561885826441566
pre2018,Q3,504,27,0.05357142857142857,0.03559707117006439,0.07698928804202258,0.561885826441566
pre2018,Q4,503,26,0.05168986083499006,0.03403977174641214,0.0748229791616396,0.561885826441566
pre2018,Q5 turbulent,504,18,0.03571428571428571,0.021301343687920644,0.05585804435743025,0.561885826441566
full,Q1 calm,942,41,0.0435244161358811,0.03141193068431448,0.058585094914418136,0.005819299316669196
full,Q2,942,58,0.06157112526539278,0.04708191357257449,0.07887112584812896,0.005819299316669196
full,Q3,942,48,0.050955414012738856,0.037806109552163354,0.06699475204137052,0.005819299316669196
full,Q4,942,60,0.06369426751592357,0.04895378260524905,0.0812300912187041,0.005819299316669196
full,Q5 turbulent,942,29,0.03078556263269639,0.02071250421182621,0.043915508847662856,0.005819299316669196
