sample,q,threshold,n_exceed,xi,se_xi,beta,ks_p,me_xi_lower_half,me_xi_upper_half,ok_n,ok_stable,ok_ks,ok_linear,passes,chosen
pre2018,0.9,1.2699048053851967,252,0.16867309622836912,0.07242254701637672,0.6137155016063741,0.7380915655199168,0.07743271871551641,0.1872222983577419,True,True,True,False,False,False
pre2018,0.925,1.4566655530606536,189,0.18134850471559702,0.0850488544432209,0.6296395376836764,0.6577251311650312,0.21043262755381612,0.17974869831428086,True,True,True,True,True,True
pre2018,0.95,1.7270704278550368,126,0.2332131987347663,0.11711300984234757,0.6291288945068642,0.931837067092564,0.16065106501342188,0.1475092967202317,True,True,True,True,True,False
pre2018,0.96,1.8515908195166426,101,0.177459197330624,0.12073964475326744,0.7238363397920337,0.9741204531445519,0.27936233218686785,0.13602837964084422,True,True,True,False,False,False
pre2018,0.97,2.065056195473256,76,0.2043459593053999,0.1497714690693981,0.7332006723625591,0.8323485448282731,0.20399687502589267,0.12870665404818385,True,True,True,True,True,False
pre2018,0.975,2.21116820281237,63,0.20410458549908977,0.16723803231912124,0.7589473899118772,0.7825277755287073,,0.13649987016171025,True,True,True,False,False,False
pre2018,0.98,2.3628719433497194,51,0.16055029087911554,0.18060913258840702,0.8453358067205844,0.6487244365976856,,,True,False,True,False,False,False
pre2018,0.99,2.988056487295936,26,0.3030487312302943,0.37445447574847907,0.7889329977926243,0.7316275266471717,,,False,False,True,False,False,False
full,0.9,1.243650854696887,471,0.16887084190908175,0.05342722834624155,0.6764912873460676,0.859596839794866,0.14371711832299022,0.17360239295755345,True,True,True,True,True,True
full,0.925,1.4548139178448312,354,0.1921654459623417,0.06426705510577228,0.680214925709414,0.9499841210542812,0.22714451319197124,0.17139461214624427,True,True,True,True,True,False
full,0.95,1.743340512334789,236,0.19689349318331495,0.08064049500375722,0.7300011933960027,0.9102411468117281,0.18666847207130205,0.1931163714306018,True,True,True,True,True,False
full,0.96,1.885143934918841,189,0.14836418803387771,0.08250398671805369,0.8288206154027509,0.9786892713221034,0.1417213009401302,0.23564777503655737,True,True,True,False,False,False
full,0.97,2.1305111932196263,142,0.1652589460454787,0.09860387294923638,0.8427666890973393,0.953324921259146,0.01073414513416238,0.2396851248852046,True,True,True,False,False,False
full,0.975,2.310175393630997,118,0.20454480658217833,0.11589484097556876,0.8123288065284063,0.9671736844212152,,0.22424420596230205,True,True,True,False,False,False
full,0.98,2.4891391253896544,95,0.20944316897943588,0.1331211916522061,0.8442723417221042,0.9313788940553692,,,True,False,True,False,False,False
full,0.99,3.101594132511336,48,0.1632798354872304,0.1997778985485563,1.0364175288186923,0.4787105793790122,,,False,False,True,False,False,False
