date,sigma_daily,p_daily_-1x,return_period_years_-1x,p_daily_-0.5x,return_period_years_-0.5x,index_return
2018-01-02,0.026689817771333817,1.6978953429617268e-06,2337.1605232934658,1.4097108632322372e-07,28149.41752775749,-0.0470122479277496
2018-01-03,0.0271025960581194,1.8347502019630427e-06,2162.830648013141,1.5272747481075856e-07,25982.580889070217,-0.0154898670453078
2018-01-04,0.026237820908863136,1.5573744600394923e-06,2548.040994683668,1.2893827151980476e-07,30776.385641593228,-0.0041704678743648
2018-01-05,0.025438999787467192,1.331511785397966e-06,2980.2619937516547,1.0968631399228326e-07,36178.20513626838,-0.0088415030555192
2018-01-08,0.024818555139512973,1.1745732330277216e-06,3378.464498143652,9.638003409813583e-08,41172.987801741416,-0.0028671966636257
2018-01-09,0.02430023294821797,1.0549752638184843e-06,3761.4663626243405,8.62828582497664e-08,45991.220605684,0.0114300558514093
2018-01-10,0.02508835904118597,1.2409176505182314e-06,3197.838282497431,1.0199762399079168e-07,38905.356938630466,-0.0153237134465586
2018-01-11,0.02461967774692571,1.1274845263725367e-06,3519.564016564429,9.239986881760717e-08,42946.532490074285,-0.0015481873306671
2018-01-12,0.024156033994939017,1.0234740698648046e-06,3877.2393801614858,8.362999096102523e-08,47450.13030197894,0.0087369908775538
2018-01-16,0.024583298776612566,1.119034385338978e-06,3546.1412269757056,9.168625237282038e-08,43280.79581787252,0.0385053831538948
2018-01-17,0.032390885248755184,4.479525908723851e-06,885.8647207566802,3.85237679610352e-07,10300.793972873193,0.0041407867494824
2018-01-18,0.030721994799503265,3.4423645079791595e-06,1152.7698356916687,2.9304003183002324e-07,13541.678737448878,-0.003087054949578
2018-01-19,0.02909831019125372,2.623344708246984e-06,1512.6696677638306,2.2109693394951835e-07,17948.028031723017,-0.0131741457389871
2018-01-22,0.02782579354691872,2.095274310968432e-06,1893.906658178732,1.752022239013238e-07,22649.563914719147,-0.007698709945901
2018-01-23,0.02673777657096957,1.713370511487382e-06,2316.051281172754,1.4229865463680978e-07,27886.798918669898,0.0142199916352991
2018-01-24,0.02740608107860393,1.9407797939013917e-06,2044.6698696697113,1.6185988998914807e-07,24516.59869854119,0.0195272353545734
2018-01-25,0.028936226569270317,2.5508390911072634e-06,1555.6661265260116,2.1477065555954759e-07,18476.704640656673,0.0136710896662646
2018-01-26,0.02901042738902096,2.5838343129427016e-06,1535.8004762056764,2.1764863351809107e-07,18232.386319687714,-0.0037593984962407
2018-01-29,0.027691659277519258,2.044888185830264e-06,1940.572592551206,1.7084630379705796e-07,23227.04021134523,0.0807920792079208
2018-01-30,0.05032817683826464,3.7859612049614764e-05,104.81496648865811,3.6141220490466e-06,1097.9856004865103,0.0263543191800879
2018-01-31,0.04822871808361876,3.0960791677377776e-05,128.17030034646902,2.921032861091932e-06,1358.5105532741482,-0.0320855614973261
2018-02-01,0.04423015963959721,2.0500133383938812e-05,193.57210482166747,1.8906830243905123e-06,2098.846774981327,-0.0167464114832535
2018-02-02,0.040550409744334624,1.3489593268827271e-05,294.17150607676933,1.2179040129887462e-06,3258.2649584312,0.139917695473251
2018-02-05,0.08009075519753688,0.0003103304550144083,12.78718831533865,3.457900937273242e-05,114.75904140224358,0.9610261470152934
2018-02-06,0.3645755211766582,0.05817318249768532,0.06821448987103057,0.0150811952139777,0.26312595997537863,-0.2595600676818952
2018-02-07,0.3270804049777028,0.04419477291685357,0.08979012010582554,0.010662379030222218,0.37217341054994035,-0.0448533640023001
2018-02-08,0.2894390915790752,0.0318051108579343,0.12476780810415013,0.007080618567275446,0.5604388840537295,0.1144036920087443
2018-02-09,0.2627663177061043,0.024164846232696362,0.1642159825906404,0.005052613040199458,0.7853864795664851,-0.0521719907151542
