key,document,form,claim,expected,config_path,config_value,agrees,note,found,quotation,pattern
xiv_424b2,CS_VelocityShares_424B2_2017-06-30.htm,424B2,XIV daily investor fee factor,0.0135,products.XIV.fee,0.0135,yes,,True,"calendar day times (2) the Daily ETN Performance for that series on the calculation day times (3)(a) the Daily Investor Fee Factor for that series divided by (b) 365. The "" Daily Investor Fee Factor "" will be equal to (i) 0.0089 for each of the Long ETNs, (ii) 0.0135 for each of the Inverse ETNs and (iii) 0.0165 for each of the 2x Long ETNs. If the level of the Index decreases or does not increase sufficiently in the case of the Long ETNs or 2x Long ETNs or if it increases or does not decrease sufficiently in the case of","Investor\s+Fee\s+Factor\s*\""?\s*will\s+be\s+equal\s+to[\s\S]{0,250}?0\.0135"
xiv_424b2,CS_VelocityShares_424B2_2017-06-30.htm,424B2,XIV inverse (-1x) daily objective,-1.0,products.XIV.leverage,-1.0,yes,,True,"is deemed to be zero on any day that is not an Index Business Day. The "" Leverage Amount "" for each series of ETNs is as follows: Daily Inverse VIX Short Term ETN: -1 Daily Inverse VIX Medium Term ETN: -1 VIX Short Term ETN: 1 VIX Medium Term ETN: 1 Daily 2x VIX Short Term ETN: 2 Daily 2x VIX Medium Term ETN: 2 On any calendar day (the "" calculation day ""), the "" Daily Investor Fee "" for any series of ETNs will be equal to the product of (1) the Closing Indicative Value for that series on the immediately preceding calendar day times (2) the Daily ETN Performance for that series on the calculation day times (3)(a) the Daily Investor Fee Factor for that series divided by (b) 365. The "" Daily Investor Fee Factor "" will be equal to (i) 0.0089 for each of the Long ETNs, (ii) 0.0135 for each of the Inverse ETNs and","inverse[^.]{0,200}?(?:daily|one\s*day)[^.]{0,200}?perform"
xiv_424b2,CS_VelocityShares_424B2_2017-06-30.htm,424B2,XIV underlying index,S&P 500 VIX Short-Term Futures Index,,,n/a,,True,"Prospectus dated June 30, 2017 Filed Pursuant to Rule 424(b)(2) Registration Statement No. 333-218604-02 June 30, 2017 TM Issued by Credit Suisse AG 5,000,000 ± VelocitySharesTM Daily Inverse VIX Short Term ETNs linked to the S&P 500 VIX Short-Term FuturesTM Index due December 4, 2030 (the "" Inverse VIX Short Term ETNs "") 1,000,000 ± VelocitySharesTM Daily Inverse VIX Medium Term ETNs linked to the S&P 500 VIX Mid-Term FuturesTM Index due December 4, 2030 (the "" Inverse VIX Medium Term ETNs "") 500,000 ±",Daily\s+Inverse\s+VIX\s+Short\s+Term\s+ETNs\s+linked\s+to\s+the\s+S&P\s*500\s*VIX\s*Short-?Term\s*Futures\s*(?:TM)?\s*Index
xiv_424b2,CS_VelocityShares_424B2_2017-06-30.htm,424B2,XIV T-bill accrual on the notional,3-month T-bill accrual,,,n/a,,True,month U.S. Treasury rate as reported on Bloomberg under ticker USB3MTA. The Daily Accrual for any series of ETNs on any Index Business Day will equal: Where Tbills t-1 is the three month treasury rate reported on Bloomberg on the prior Index Business Day and d is the number of calendar days that have elapsed since the prior Index Business Day. The Daily Accrual is deemed to be zero on any day that is not an Index Business Day. Daily Index,"(?:91|13[- ]week|three[- ]month)[^.]{0,200}?Treasury"
xiv_424b2,CS_VelocityShares_424B2_2017-06-30.htm,424B2,XIV acceleration at the issuer's option,optional acceleration clause,,,n/a,,True,"value of the ETNs could lead to significant losses in the event the investor sells such ETNs at a time when such premium is no longer present in the market place or such ETNs are accelerated (including at our option, which we have the discretion to do at any time), in which case investors will receive a cash payment in an amount equal to the Closing Indicative Value on the Accelerated Valuation Date (each as defined herein). Investors should consult their financial","(?:accelerat\w+)[^.]{0,300}?(?:at\s+our\s+option|option\s+to\s+accelerat)"
xiv_acceleration_8k,CS_XIV_acceleration_2018-02-06.htm,8-K exhibit 99.1,"XIV acceleration trigger, 20% of prior close",intraday indicative value <= 20% of prior closing indicative value,,,n/a,,True,"Term ETNs (""XIV"") due to an acceleration event. The acceleration date is expected to be February 21, 2018. Because the intraday indicative value of XIV on February 5, 2018 was equal to or less than twenty percent of the prior day's closing indicative value, an acceleration event has occurred. Credit Suisse expects to deliver an irrevocable call notice with respect to the event acceleration of XIV to The Depository Trust Company no later than February 15, 2018. The date of the delivery of the irrevocable call",equal\s+to\s+or\s+less\s+than\s+twenty\s+percent\s+of\s+the\s+prior\s+day'?s\s+closing\s+indicative\s+value
xiv_acceleration_8k,CS_XIV_acceleration_2018-02-06.htm,8-K exhibit 99.1,XIV closing indicative value 2018-02-02,108.3681,,,n/a,,True,"The last day of trading for XIV is expected to be February 20, 2018. As of the date hereof, Credit Suisse will no longer issue new units of XIV ETNs. On February 2, 2018, the closing indicative value was $108.3681. None of the other ETNs offered by Credit Suisse are affected by this announcement. Title of ETN ETN Ticker Symbol ETN CUSIP Velocity SharesTM Daily Inverse VIX Short Term ETNs due December 4, 2030 XIV 22542D795 Press Contacts Nicole Sharp, Credit Suisse AG,",closing\s+indicative\s+value\s+was\s+\$?108\.3681
xiv_acceleration_8k,CS_XIV_acceleration_2018-02-06.htm,8-K exhibit 99.1,XIV acceleration event date,2018-02-05,,,n/a,,True,"of its Velocity SharesTM Daily Inverse VIX Short Term ETNs (""XIV"") due to an acceleration event. The acceleration date is expected to be February 21, 2018. Because the intraday indicative value of XIV on February 5, 2018 was equal to or less than twenty percent of the prior day's closing indicative value, an acceleration event has occurred. Credit Suisse expects to deliver an irrevocable call notice with respect to the event acceleration of XIV to The Depository Trust","intraday\s+indicative\s+value\s+of\s+XIV\s+on\s+February\s+5,\s+2018"
xiv_acceleration_8k,CS_XIV_acceleration_2018-02-06.htm,8-K exhibit 99.1,XIV acceleration date,2018-02-21,products.XIV.terminated,2018-02-21,yes,,True,"of the irrevocable call notice, which is expected to be February 15, 2018, will constitute the accelerated valuation date, subject to postponement due to certain events. The acceleration date for XIV is expected to be February 21, 2018, which is three business days after the accelerated valuation date. On the acceleration date, investors will receive a cash payment per ETN in an amount equal to the closing indicative value of XIV on the accelerated valuation date. The last day of trading","acceleration\s+date\s+for\s+XIV\s+is\s+expected\s+to\s+be\s+February\s+21,\s+2018"
proshares_424b3_2018_02,ProSharesTrustII_424B3_2018-02-15.htm,424B3,SVXY daily objective -1x as at Feb 2018,-1.0,products.SVXY.leverage,-1.0,yes,,True,"match the performance of the Index. The Ultra Fund seeks results (before fees and expenses) that correspond to two times (2x) the performance of the Index for a single day. The Inverse Fund seeks results (before fees and expenses) that correspond to the inverse (-1x) of the performance of the Index for a single day. Each Geared Fund is ""geared"" in the sense that it has an investment objective to correspond (before fees and expenses) to two times (2x) (e.g., the Ultra Fund) or the inverse (-1x) (e.g., the Inverse Fund) of","Inverse\s+Fund\s+seeks\s+results[^.]{0,140}?inverse\s*\(\s*-\s*1x\s*\)"
