product,leverage,era,n,sd_bp,corr,slope,slope_se
VIXY,1.0,2011-2017,1637,124.5,0.9573,0.8871,0.014
VIXY,1.0,2018-2021,1008,242.8,0.9098,0.7943,0.129
VIXY,1.0,2022-2026,1182,28.2,0.998,0.9858,0.0047
VIXY,1.0,2011-2026,3827,149.7,0.9497,0.8762,0.0602
VXX,1.0,2018-2021,991,252.8,0.9033,0.7848,0.1296
VXX,1.0,2022-2026,1182,101.2,0.9731,0.9201,0.0172
VXX,1.0,2011-2026,2173,186.3,0.9317,0.8385,0.0876
SVXY,-1.0,2011-2017,1448,129.3,-0.952,-0.8886,0.0146
SVXY,-1.0,2011-2026,1487,354.1,-0.7285,-0.68,0.1497
UVXY,2.0,2011-2017,1448,257.9,0.9526,1.7533,0.034
UVXY,2.0,2011-2026,1487,431.9,0.9034,1.4874,0.2001
