symbol,era,settlement,n,slope,te_bp_daily_raw,te_bp_daily_regression_resid
VIXY,2011-01-01 to 2015-12-31,15:15 CT,1256,0.8734558762226013,133.24220689728799,120.66914754768402
VIXY,2016-01-01 to 2017-12-31,15:15 CT,503,0.8863587372332804,117.03218169042118,108.47113360747622
VIXY,2018-01-01 to 2018-12-31,15:15 CT,251,0.54291099296951,447.10987583571847,290.3361392791091
VIXY,2019-01-01 to 2020-10-23,15:15 CT,458,0.9580623113460064,139.13117729349133,137.42487540389376
VIXY,2020-10-26 to end,15:00 CT,1481,0.9848800481458647,31.68815264573051,30.97265172246337
VXX,2018-01-01 to 2018-12-31,15:15 CT,234,0.5227183087839923,486.6862148443135,319.74271029215447
VXX,2019-01-01 to 2020-10-23,15:15 CT,458,0.9516120510693388,128.93358888867786,126.39463426407265
VXX,2020-10-26 to end,15:00 CT,1481,0.935415212770833,92.15279481052892,87.5640810563672
SVXY,2011-01-01 to 2015-12-31,15:15 CT,1067,0.8635761287037647,144.89228141360294,131.82385774046136
SVXY,2016-01-01 to 2017-12-31,15:15 CT,503,0.8940302969003763,118.30252675234698,110.99981229059277
SVXY,2018-01-01 to 2018-12-31,15:15 CT,251,0.22978633302801335,807.7930189017943,618.3641135627615
SVXY,2019-01-01 to 2020-10-23,15:15 CT,458,0.9564670690835516,73.88863491048984,73.02704962798435
SVXY,2020-10-26 to end,15:00 CT,1481,0.9908483621940751,18.212173397672082,18.103566293718604
UVXY,2011-01-01 to 2015-12-31,15:15 CT,1067,0.8627099234852202,276.5317114510159,248.62117918764727
UVXY,2016-01-01 to 2017-12-31,15:15 CT,503,0.8771646450551156,239.67306467262355,220.0177904291052
UVXY,2018-01-01 to 2018-12-31,15:15 CT,251,0.5065489320981813,869.6900921594946,521.5916471204175
UVXY,2019-01-01 to 2020-10-23,15:15 CT,458,0.9473225745497673,200.8879822240465,196.51616459835427
UVXY,2020-10-26 to end,15:00 CT,1481,0.9710556442050323,44.79371239631565,40.40500048872203
SVIX,2020-10-26 to end,15:00 CT,1121,0.9467157069315548,51.28634390760666,45.90102482434332
