symbol,leverage,window,start,end,horizon,blocks,n,slope,se,theoretical,t_vs_theory,intercept_annual,rsquared,fee_config
VIXY,1.0,full,2011-01-05,2026-09-18,21,non_overlapping,188,-0.029601388109196422,0.02217893682994966,-0.0,-1.3346621768282303,0.01847316076053063,0.033593477378687564,0.0085
VIXY,1.0,full,2011-01-05,2026-09-18,21,overlapping,3929,-0.005706222967917507,0.011720442587062292,-0.0,-0.4868607073094977,0.005878329419787007,0.0005383653754919004,0.0085
VIXY,1.0,full,2011-01-05,2026-09-18,63,non_overlapping,62,-0.009554588136072021,0.008948452739443205,-0.0,-1.0677363354624512,0.007923162120177386,0.00971182659258063,0.0085
VIXY,1.0,full,2011-01-05,2026-09-18,63,overlapping,3887,-0.009794828292490442,0.0058733584974197854,-0.0,-1.6676707707852994,0.008121334644071308,0.004557657032328577,0.0085
VXX,1.0,full,2018-01-26,2026-09-18,21,non_overlapping,103,0.0038117310991370814,0.020816526969270343,-0.0,0.18311080925093864,0.016223647976878336,6.924926022922051e-05,0.0089
VXX,1.0,full,2018-01-26,2026-09-18,21,overlapping,2153,-0.01832170402528801,0.02830417709312063,-0.0,-0.6473144923100812,0.03009187753052133,0.000832698755002137,0.0089
VXX,1.0,full,2018-01-26,2026-09-18,63,non_overlapping,34,0.03874259252510723,0.02201511499790399,-0.0,1.7598178582667328,-0.00422807844999988,0.030510588428113605,0.0089
VXX,1.0,full,2018-01-26,2026-09-18,63,overlapping,2111,0.015447669745701532,0.02351652971428812,-0.0,0.6568856006129116,0.010472482719576903,0.0013220729412956045,0.0089
SVXY,-1.0,full,2011-10-05,2018-02-27,21,non_overlapping,76,-2.8458191170317857,0.4079946738732795,-1.0,-4.524125522298081,0.7557925437052602,0.8990396190920518,0.0095
SVXY,-1.0,full,2011-10-05,2018-02-27,21,overlapping,1589,-2.6686233647737074,0.37754990811893596,-1.0,-4.419610040662643,0.676123783667379,0.8435414731419955,0.0095
SVXY,-1.0,full,2011-10-05,2018-02-27,63,non_overlapping,25,-1.0752363235881903,0.062153101307469115,-1.0,-1.2104999107928498,0.0038419846506856773,0.9494002707071473,0.0095
SVXY,-1.0,full,2011-10-05,2018-02-27,63,overlapping,1547,-2.0767653833484676,0.5652910652715638,-1.0,-1.9047981641655585,0.413352080846676,0.713313965255725,0.0095
SVXY,-1.0,ex_feb2018,2011-10-05,2018-01-31,21,non_overlapping,75,-1.0873471744842202,0.048329124997179874,-1.0,-1.8073402837174721,0.009275121244812709,0.8959371298012161,0.0095
SVXY,-1.0,ex_feb2018,2011-10-05,2018-01-31,21,overlapping,1571,-1.1091331004596994,0.02208634141764713,-1.0,-4.941203180554898,0.014522446094811306,0.8544003636286323,0.0095
SVXY,-1.0,ex_feb2018,2011-10-05,2018-01-31,63,non_overlapping,25,-1.0752363235881903,0.062153101307469115,-1.0,-1.2104999107928498,0.0038419846506856773,0.9494002707071473,0.0095
SVXY,-1.0,ex_feb2018,2011-10-05,2018-01-31,63,overlapping,1529,-1.0620480486123303,0.022081282574690036,-1.0,-2.8099839038992624,-0.00675778363105648,0.9377745188617981,0.0095
SVXY,-0.5,full,2018-02-28,2026-09-18,21,non_overlapping,102,-0.40255956963995604,0.01646396812183156,-0.375,-1.6739323980718526,0.012427654724294494,0.9322590871292471,0.0095
SVXY,-0.5,full,2018-02-28,2026-09-18,21,overlapping,2131,-0.4153323556105088,0.005943670543122268,-0.375,-6.785765684334485,0.016686256833995303,0.9529971139881577,0.0095
SVXY,-0.5,full,2018-02-28,2026-09-18,63,non_overlapping,34,-0.4093192803289382,0.012173816692089133,-0.375,-2.8191060533414958,0.015881025565714846,0.9730773902392447,0.0095
SVXY,-0.5,full,2018-02-28,2026-09-18,63,overlapping,2089,-0.41528294700480983,0.007291045240631626,-0.375,-5.524989308847041,0.016531114610207096,0.9755760713162909,0.0095
UVXY,2.0,full,2011-10-05,2018-02-27,21,non_overlapping,76,-0.732097033140717,0.051421756916434753,-1.0,5.2099146922313615,-0.12293697626676198,0.8171690618467424,0.0095
UVXY,2.0,full,2011-10-05,2018-02-27,21,overlapping,1589,-0.688648985763478,0.06705254781332985,-1.0,4.643388273676102,-0.13942655405740673,0.6289811631272206,0.0095
UVXY,2.0,full,2011-10-05,2018-02-27,63,non_overlapping,25,-0.9018092392807817,0.08979490725277355,-1.0,1.093500330066719,-0.05195814632846546,0.815146626809777,0.0095
