name,n,years,cagr,ann_vol,sharpe,sharpe_se_lo,mean_t_hac,sortino,max_drawdown,calmar,skew,excess_kurtosis,var_95,cvar_95,var_99,cvar_99,worst_day,worst_week,best_day,hit_rate,longest_drawdown_days,ann_turnover,avg_weight,max_weight,time_invested,feb_2018,kind
2008-01-02 to 2012-12-31,1259,5.0,0.1317414303866189,0.14231171623120342,0.9157503943447536,0.45918112517182935,2.0225857472477906,1.0004068123798362,-0.19730647147087732,0.6676994900598793,-0.8387743143711981,4.147409811026188,-0.01491794571296281,-0.023426816674662863,-0.02801798356083439,-0.03663262367738633,-0.054203278104682256,-0.08405653468743968,0.03742084148734857,0.6560762509928515,354,13.256170201979028,0.210041765153263,0.5903651168806807,0.7053216838760922,-0.0006433234818707945,configured subsample
2013-01-01 to 2017-12-31,1260,5.0,0.03629947128022204,0.17288207771757788,0.27791540056715486,0.4556101660195785,0.6503277621319165,0.2807897879673472,-0.2482248829011302,0.14623623085635773,-2.081382816025139,16.79684548569905,-0.016849071319317798,-0.029414114204307364,-0.03181074147900168,-0.05458010017260981,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.5761904761904761,659,16.792954760762232,0.2768410401695064,0.7350640883983592,0.8380952380952381,-0.0006433234818707945,configured subsample
2018-01-01 to 2021-12-31,1009,4.0,-0.02715044122721255,0.11807970664391237,-0.26798733301760724,0.48781209635264866,-0.538317194655291,-0.22147163748228,-0.24671915886329987,-0.11004593786839167,-2.882461123219361,17.705554231889195,-0.011563697704813577,-0.022537047756019696,-0.027019567756306397,-0.04325041807334699,-0.06590954986794256,-0.09119107789471614,0.02586115693214521,0.6798810703666998,1001,8.314848831617283,0.14195403789494354,0.6086616272438966,0.6858275520317145,-0.0006433234818707945,configured subsample
2022-01-01 to end,1183,4.69,0.04670436256129906,0.09540788592764991,0.10021169016530619,0.46318368616451683,0.2298851343173578,0.10132367963949902,-0.15215900732971677,0.3069444483171103,-1.1212866730965947,4.505820464452362,-0.011393172890120672,-0.017288872462645363,-0.01930467972279668,-0.02505970379025904,-0.034424754653782114,-0.05948898225356536,0.021584221879682657,0.6356720202874049,379,12.07128620179873,0.14166776714982054,0.20811088295687888,0.7007607776838546,-0.0006433234818707945,configured subsample
OOS excluding 2016,2443,9.69,0.03471345271988757,0.11937841939113414,0.13477036650700913,0.32552747242906854,0.42866458956492604,0.11981645144502406,-0.26767483692461813,0.12968515501389277,-3.144718592027709,34.23870434232416,-0.011638212101431348,-0.021081124082718162,-0.02411409788433278,-0.039235404538499934,-0.11672792274336695,-0.1354849927719397,0.03553867813063943,0.6483831354891527,1998,,,,,,leave one year out
OOS excluding 2017,2444,9.7,0.0211190752056043,0.11507314314951934,0.025715540759599077,0.3217196279887682,0.08441180070793373,0.023090806663569937,-0.2676748369246177,0.07889824627614074,-2.3567107057298013,17.897128575361293,-0.011779205119741235,-0.02083951646377734,-0.024112742206421147,-0.03855695178672993,-0.07875439295966148,-0.09933617134863426,0.047489562078691934,0.6550736497545008,1998,,,,,,leave one year out
OOS excluding 2018,2443,9.69,0.057751337815011405,0.12565960782370353,0.3231979610103265,0.3313636208265913,1.0723962335076769,0.29294422182391794,-0.20128359902987703,0.28691526827498365,-3.000200937279148,32.347907611018066,-0.012042921638729982,-0.021657161597404287,-0.024116127598864414,-0.041309275301221124,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6401964797380271,1000,,,,,,leave one year out
OOS excluding 2019,2443,9.69,0.040150980015427384,0.12813067418919455,0.1894304227215789,0.3270832120714021,0.6210771670465222,0.1683318997298947,-0.3018594530783385,0.13301216710615124,-3.021930504106955,31.02402377802005,-0.012069098972580704,-0.022441166571346965,-0.025414128827097145,-0.043333233694182516,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.645927138763815,1914,,,,,,leave one year out
OOS excluding 2020,2442,9.69,0.05878671546161485,0.12697078047344998,0.3157529890113315,0.33082535845565014,1.0403952333230833,0.28804156699392613,-0.18946757551488402,0.31027322380549877,-2.893525754846505,30.536216597418594,-0.01213513264913234,-0.021905359420453442,-0.02477370313799516,-0.0418118900633779,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6388206388206388,696,,,,,,leave one year out
OOS excluding 2021,2443,9.69,0.03659891642681745,0.1234400163082107,0.1469160104494878,0.3258930707587463,0.46881698918024134,0.12910017865659987,-0.32463199202960435,0.11273970934903996,-3.1218623075134695,34.5499650802691,-0.011892052722846694,-0.021436729975890884,-0.02411409788433278,-0.04103010457424185,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6549324600900532,1932,,,,,,leave one year out
