q,dynamics,surv5_-1x,se_-1x,surv5_-0.5x,se_-0.5x,gap_pp
0.9,unbounded,0.8127,0.00390152162623764,0.9434,0.0023107669722410348,13.070000000000004
0.9,capped,0.9063,0.002914108954723553,0.9886,0.0010616044461097536,8.230000000000004
0.925,unbounded,0.8155,0.003878914152182283,0.9452,0.002275894549402497,12.970000000000004
0.925,capped,0.9046,0.0029376664208177216,0.9882,0.001079849989581888,8.360000000000001
0.95,unbounded,0.8085,0.003934815751722055,0.9416,0.002344982729147488,13.309999999999999
0.95,capped,0.8905,0.003122655120246231,0.9828,0.0013001599901550577,9.230000000000004
0.96,unbounded,0.8297,0.003758961425713225,0.9505,0.0021690954335851615,12.080000000000002
0.96,capped,0.9103,0.002857514829357846,0.9884,0.0010707679487171836,7.809999999999995
0.97,unbounded,0.8221,0.0038242854234484115,0.9466,0.0022482980229498045,12.449999999999994
0.97,capped,0.9032,0.002956852380488414,0.9865,0.0011540255629750996,8.330000000000004
0.975,unbounded,0.8203,0.003839373777063129,0.9463,0.002254247324496582,12.6
0.975,capped,0.9025,0.0029663740492392398,0.9865,0.0011540255629750996,8.400000000000007
0.98,unbounded,0.8283,0.0037711949034755546,0.9503,0.0021732443488940672,12.2
0.98,capped,0.9099,0.002863249727145712,0.9888,0.0010523573537539418,7.889999999999997
0.99,unbounded,0.7947,0.004039206729049653,0.9342,0.002479321681428208,13.950000000000006
0.99,capped,0.8827,0.0032177742307377623,0.977,0.001499033021650958,9.429999999999994
