dynamics,day,years,survival_-1x,se_-1x,survival_-0.5x,se_-0.5x
unbounded,1,0.003968253968253968,1.0,0.0,1.0,0.0
unbounded,2,0.007936507936507936,1.0,0.0,1.0,0.0
unbounded,3,0.011904761904761904,1.0,0.0,1.0,0.0
unbounded,4,0.015873015873015872,0.9999,7.070714249635216e-05,0.99995,4.999874998437186e-05
unbounded,5,0.01984126984126984,0.99985,8.65960449443228e-05,0.99995,4.999874998437186e-05
unbounded,6,0.023809523809523808,0.9998,9.998999949994449e-05,0.99995,4.999874998437186e-05
unbounded,7,0.027777777777777776,0.99975,0.00011178942257655069,0.99995,4.999874998437186e-05
unbounded,8,0.031746031746031744,0.9997,0.0001224561145880366,0.9999,7.070714249635216e-05
unbounded,9,0.03571428571428571,0.9996,0.0001413930691370613,0.9999,7.070714249635216e-05
unbounded,10,0.03968253968253968,0.9996,0.0001413930691370613,0.9999,7.070714249635216e-05
unbounded,11,0.04365079365079365,0.9995,0.00015807434959536366,0.99985,8.65960449443228e-05
unbounded,12,0.047619047619047616,0.99925,0.00019357653525156767,0.9998,9.998999949994449e-05
unbounded,13,0.051587301587301584,0.9991,0.00021203655345246628,0.9998,9.998999949994449e-05
unbounded,14,0.05555555555555555,0.99905,0.00021784139872852524,0.9998,9.998999949994449e-05
unbounded,15,0.05952380952380952,0.9989,0.00023439176606698345,0.9998,9.998999949994449e-05
unbounded,16,0.06349206349206349,0.9987,0.0002547852036520143,0.99965,0.00013226441320324253
unbounded,17,0.06746031746031746,0.99855,0.00026906295731668,0.99965,0.00013226441320324253
unbounded,18,0.07142857142857142,0.99845,0.00027817238360412875,0.99965,0.00013226441320324253
unbounded,19,0.07539682539682539,0.9983,0.0002912996738755499,0.99965,0.00013226441320324253
unbounded,20,0.07936507936507936,0.99825,0.00029554504732781677,0.9996,0.0001413930691370613
unbounded,21,0.08333333333333333,0.9981,0.0003079277512664304,0.9996,0.0001413930691370613
unbounded,22,0.0873015873015873,0.9979,0.0003236966172205072,0.99955,0.0001499662462022622
unbounded,23,0.09126984126984126,0.99775,0.00033503264766287887,0.9995,0.00015807434959536366
unbounded,24,0.09523809523809523,0.99755,0.00034957098706843166,0.99945,0.00016578562965469148
