fit,q,state,design,simple_threshold,log_threshold,p_daily,p_annual,return_period_years,sigma_daily,headline_threshold
pre2018,0.9,unconditional,-1x,0.8,0.5877866649021191,4.6671883411368676e-05,0.01169269197830447,85.02450893780198,0.039820015013189526,False
pre2018,0.9,unconditional,-0.5x,1.6,0.9555114450274363,4.981715179617999e-06,0.0012546076731776434,796.5637988477407,0.039820015013189526,False
pre2018,0.9,calm (lowest 20% of sigma),-1x,0.8,0.5877866649021191,1.0015514972645896e-06,0.00025235925575395335,3962.1067704376223,0.02559112050638851,False
pre2018,0.9,calm (lowest 20% of sigma),-0.5x,1.6,0.9555114450274363,7.069400272707629e-08,1.781473064177419e-05,56132.8233679729,0.02559112050638851,False
pre2018,0.9,on 2018-01-12,-1x,0.8,0.5877866649021191,7.175968602611594e-07,0.00018081812410253306,5529.921029489702,0.024156033994939017,False
pre2018,0.9,on 2018-01-12,-0.5x,1.6,0.9555114450274363,4.9983970569038365e-08,1.2595881556554112e-05,79390.5310658139,0.024156033994939017,False
pre2018,0.9,"for 2018-02-05, data through 2018-02-02",-1x,0.8,0.5877866649021191,0.00029053462932663953,0.07060864526298372,13.658454337959752,0.08009075519753688,False
pre2018,0.9,"for 2018-02-05, data through 2018-02-02",-0.5x,1.6,0.9555114450274363,2.9470671531470395e-05,0.007399208731586615,134.65095167636235,0.08009075519753688,False
pre2018,0.925,unconditional,-1x,0.8,0.5877866649021191,5.0266894932949723e-05,0.01258767988475562,78.94368596960612,0.039820015013189526,True
pre2018,0.925,unconditional,-0.5x,1.6,0.9555114450274363,5.793034466666461e-06,0.0014587838529990238,685.0043774273377,0.039820015013189526,True
pre2018,0.925,calm (lowest 20% of sigma),-1x,0.8,0.5877866649021191,1.399544552824769e-06,0.0003526232878955371,2835.389527432083,0.02559112050638851,True
pre2018,0.925,calm (lowest 20% of sigma),-0.5x,1.6,0.9555114450274363,1.1558255761413812e-07,2.912638202623441e-05,34332.63677640379,0.02559112050638851,True
pre2018,0.925,on 2018-01-12,-1x,0.8,0.5877866649021191,1.0234740698648046e-06,0.000257882340213067,3877.2393801614858,0.024156033994939017,True
pre2018,0.925,on 2018-01-12,-0.5x,1.6,0.9555114450274363,8.362999096102523e-08,2.107453652500091e-05,47450.13030197894,0.024156033994939017,True
pre2018,0.925,"for 2018-02-05, data through 2018-02-02",-1x,0.8,0.5877866649021191,0.0003103304550144083,0.07523480006819505,12.78718831533865,0.08009075519753688,True
pre2018,0.925,"for 2018-02-05, data through 2018-02-02",-0.5x,1.6,0.9555114450274363,3.457900937273242e-05,0.008676203638496194,114.75904140224358,0.08009075519753688,True
pre2018,0.95,unconditional,-1x,0.8,0.5877866649021191,6.768064241802839e-05,0.016911467274034586,58.63203755874703,0.039820015013189526,False
pre2018,0.95,unconditional,-0.5x,1.6,0.9555114450274363,1.0332764875581305e-05,0.0026004830717730743,384.0457047108333,0.039820015013189526,False
pre2018,0.95,calm (lowest 20% of sigma),-1x,0.8,0.5877866649021191,4.2621751700848235e-06,0.0010734938246245163,931.0396241116937,0.02559112050638851,False
pre2018,0.95,calm (lowest 20% of sigma),-0.5x,1.6,0.9555114450274363,5.726643425750078e-07,0.00014430104326224047,6929.458800264319,0.02559112050638851,False
pre2018,0.95,on 2018-01-12,-1x,0.8,0.5877866649021191,3.3192399738006663e-06,0.0008361001349093122,1195.5309045372078,0.024156033994939017,False
pre2018,0.95,on 2018-01-12,-0.5x,1.6,0.9555114450274363,4.4412653535878883e-07,0.00011191364895579703,8934.96256657622,0.024156033994939017,False
pre2018,0.95,"for 2018-02-05, data through 2018-02-02",-1x,0.8,0.5877866649021191,0.0003939682054501353,0.09452856611130811,10.072523400003739,0.08009075519753688,False
pre2018,0.95,"for 2018-02-05, data through 2018-02-02",-0.5x,1.6,0.9555114450274363,6.017520441340645e-05,0.015050204144320456,65.94500188137093,0.08009075519753688,False
pre2018,0.96,unconditional,-1x,0.8,0.5877866649021191,5.17756033950852e-05,0.012963036442535047,76.64331669827831,0.039820015013189526,False
