source,estimator,n,first,ann_vol_pct,mean_over_close_to_close,share_nonpositive,sd_log_daily,ar1_daily,share_open_equals_prev_close,used
SPY,close_to_close,5713,2004-01-05,18.67864132792031,1.0,0.003325748293366007,2.4903103432291536,0.2747641472476948,0.00875196919306844,False
SPY,parkinson (intraday only),5714,2004-01-02,15.015653587960983,0.6462460707671493,0.0,1.2292513733890547,0.675526896803073,0.00875196919306844,False
SPY,garman_klass (intraday only),5714,2004-01-02,15.218364625478081,0.6638124680810392,0.0,1.1985732796177717,0.6382999140073824,0.00875196919306844,False
SPY,rogers_satchell (intraday only),5714,2004-01-02,15.475872242486933,0.6864670657942524,0.00035001750087504374,1.249643001557032,0.5540622169108944,0.00875196919306844,False
SPY,overnight only,5713,2004-01-05,11.204887442486246,0.35985242274795326,0.00875196919306844,2.352261493800747,0.27917801097452066,0.00875196919306844,False
SPY,parkinson_overnight,5713,2004-01-05,18.73583527379032,1.0061333700575996,0.0,1.2493204835246055,0.5963666172262613,0.00875196919306844,False
SPY,gk_overnight,5713,2004-01-05,18.898528675778355,1.0236828380529353,0.0,1.2226146207411082,0.5944158990178201,0.00875196919306844,False
SPY,rs_overnight,5713,2004-01-05,19.10656345002615,1.0463442601454054,0.0,1.2486363359825219,0.5674077985157338,0.00875196919306844,True
^GSPC,close_to_close,5713,2004-01-05,18.7475703005881,1.0,0.00035007876772273763,2.5881501215152407,0.32596214206692026,0.13968142832137231,False
^GSPC,parkinson (intraday only),5714,2004-01-02,14.658015632099383,0.6113084224038057,0.0,1.2392540949453592,0.6671687548721761,0.13968142832137231,False
^GSPC,garman_klass (intraday only),5714,2004-01-02,13.870843170851535,0.5474137996821413,0.0,1.1919952018447986,0.6145182028137012,0.13968142832137231,False
^GSPC,rogers_satchell (intraday only),5714,2004-01-02,13.66340981053488,0.531163479608051,0.012775638781939097,1.3628465264127252,0.4459739114619488,0.13968142832137231,False
^GSPC,overnight only,5713,2004-01-05,6.065222148932543,0.10466547359147181,0.13968142832137231,3.3460199540104023,0.27574447061901536,0.13968142832137231,False
^GSPC,parkinson_overnight,5713,2004-01-05,15.863718126549811,0.7160114831564159,0.0,1.2259564595823218,0.670261748802955,0.13968142832137231,False
^GSPC,gk_overnight,5713,2004-01-05,15.13897953072115,0.65208351613766,0.0,1.1846112371813264,0.6443092844130442,0.13968142832137231,False
^GSPC,rs_overnight,5713,2004-01-05,14.949062995010657,0.6358255306230273,0.002625590757920532,1.4179668144558433,0.5234094627565962,0.13968142832137231,False
